,ID,Provider,AddressLine1,AddressLine2,City,State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicare,Medicaid,Private Pay: Check
0,1,A & A Home Health Equipment*,221 South Highway 1,,Greenville,MS,38703,Main,6623320772,Toll Free Hotline,8007489047,(662) 335-1702,http://www.aahhe.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1,2,A&A Home Health Equipment Incorporated*,1608 Broadway Drive,Suite 30,Hattiesburg,MS,39401,Main,8665430076,Other,6012613936,(877) 880-0649,www.aahhe.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
2,3,A&A Home Health Equipment Incorporated*,221 Highway 1 South,,Greenville,MS,38701,Toll Free Hotline,8007489047,Main,6623320772,(662) 335-1702,www.aahhe.com,,Zane  Jacobs,Branch Manager,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
3,4,A&A Home Health Equipment Incorporated*,1403 South Green Street,,Tupelo,MS,38804,Main,8008441348,Main,6628448545,662-618-6581,www.aahhe.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
4,5,AAA Ambulance Service*,100 Rawls Springs Loop Road,,Hattiesburg,MS,39402,Main,6012640175,,,,https://aaaambulance.net/,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
5,6,AAA Senior Solutions*,4685 Leslie Cove,,Horn Lake,MS,38637,Main,6623933701,,,,,,,,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False
6,7,Aaron E. Henry Community Health Center-Administrative Office*,510 MS- Highway 322,,Clarksdale,MS,38614,Main,6623933701,,,(662) 624-4354,www.aehchc.org,rsheriff@aehchc.org,Richard Sheriff,COO,False,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True
7,8,Aaron E. Henry Community Health Center-Batesville Clinic*,216 US-Highway 51,,Batesville,MS,38606,Main,6625631858,,,(662) 563-0617,www.aehchc.org,,Mary Burnett,Family Nurse Practitioner,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
8,9,Aaron E. Henry Community Health Center-Tunica Clinic*,1820 Peabody Avenue,,Tunica,MS,38676,Main,6623633656,,,(662) 363-3789,www.aehchc.org,,Toria Shaw,Family Nurse Practitioner,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
9,10,Aaron E. Henry Community Health Center- Tunica School Based Clinic*,1100 Rosa Fort Drive.,,Tunica,MS,38676,Main,6623633971,,,(662) 363-7651,www.aehchc.org,,Brittany Harris,Family Nurse Practitioner,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
