ID,Provider Name,Provider Address,Provider City,Provider State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,USEFUL,FINDABLE,USABLE,TOTAL_SCORE,NOTES,Medicare,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicaid,Private Pay: Check
75,American Regent,Post Office Box 9001 ,Shirley,NY,11967,Main,6319241731,Other,6319244000,,http://www.americanregent.com/ ,5,5,5,15,"they sell injectable drugs (meds). Looks like you can partner with them as a business, but doesn't directly benefit an individual",0,adamseoc@adamscountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
76,Ancor Adult Daycare Center,615 Desoto Avenue ,Clarksdale,MS,38614,Main,6626275317,,,,,1,1,1,3,phone number not in service. Google provides same numbers,0,,Bertrand Antoine,CEO/Principal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77,Ancor Adult Day Care Center ,103 West Gay Street,Charleston,MS,38921,Main,6626473880,,,,,1,1,1,3,phone number not in service. Google provides same numbers,0,wecareadult@att.net,Bertrand Antoine,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,Ancor Adult Day Care Center*,814 Hancock Street,Tutwiler,MS,38963,Main,6624532481,Other,6623450222,,,1,1,1,3,phone number not in service. Google provides same numbers,0,wecareadult@att.net,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
79,Anderson Regional Cancer Center,1704 23rd Avenue,Meridian,MS,39301,Main,6014855081,,,,https://www.andersonregional.org/locations/anderson-regional-cancer-center/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
80,Anderson Regional Medical Center*,2124 14th Street,Meridian,MS,39301,Main,6015536000,,,,https://www.andersonregional.org/locations/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
81,Anderson Regional Medical Center-South Campus*,1102 Constitution Avenue,Meridian,MS,39301,Main,6014843590,,,,https://www.andersonregional.org/locations/,6,7,7,20,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
82,Angel Adult Center,513 East Walnut Street ,Ripley,MS,38663,Main,6625121502,,,,https://www.angelhomemakerservices.com,7,7,7,21,,0,rtaylor@amitecountyms.gov,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,Angel Adult Center II,8869 Highway 51 South,Courtland,MS,38620,Main,6625619797,,,(662) 561-9793,https://www.angelhomemakerservices.com,7,7,7,21,,0,jbflint.angel@gmail.com,Janet Flint,Director,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
84,Angel Homemaker Services*,200 Glassco Street,Cleveland,MS,38732,Main,6628433785,Contact Person,6623473785,,https://www.angelhomemakerservices.com,7,7,7,21,,0,,Nora Pegeus,Member,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
85,Angel Keeper Adult Day Care ,812 B Highway 82 East,Leland,MS,38756,Main,6627715166,,,,,1,1,1,3,phone number no longer active. cannot locate new number,0,,Viola McCaskill,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
86,Angels at Home LLC*,4887 Marianna Road,Holly Springs,MS,38635,Main,9012709825,,,,,1,1,1,3,phone number not in service,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
87,Anguilla Family Apartments*,224 Robbins Street,Rolling Fork,MS,39159,Main,6628739300,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
88,"Animas Diabetes Care, LLC",965 Chesterbrook Boulevard,Wayne,PA,19087,Main,8779377867,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
89,"AN IV, LLC",4565 Shelby Road,Millington,TN,38053,Main,9018722648,,,,,1,1,1,3,,0,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
90,Anointed Personal Care and Respite Services,3800 Yarbro St Apt 305,Jackson ,MS,39204,Main,6016659008,,,(601) 345-8379,,,,,0,call 1: no answer,0,,Pamela McLin,Director,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
91,APELAH,2022 Oak Tree Cove ,Hernando,MS,38632,Main,6624293652,,,,Apelah.org ,2,7,7,16,this is a resource for foster parents (current and prospective),1,,,,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1
92,"APM Providers, Inc.",1823 3rd Street North,Jax Beach,FL,32250,Main,9042415310,,,,http://newrelic.com/,1,1,1,3,link to site for data stuff--irrelevant ,1,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
93,"Apria Healthcare, Incorporated*",198 Pass Road,Biloxi,MS,39531,Main,9042415310,,,,www.apria.com ,7,7,7,21,,1,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
94,Apria Healthcare Inc.,701 Technology Drive ,Canonsburg,PA,15317,Main,2283852200,,,,https://www.apria.com/ ,5,5,5,15,not a MS location,1,rtaylor@amitecountyms.gov,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
