ID,Provider Name,Provider Address,Provider City,Provider State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,USEFUL,FINDABLE,USABLE,TOTAL_SCORE,NOTES,Medicare,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicaid,Private Pay: Check
299,Christian Fellowship Church,Post Office Box 411,Houston,MS,38851,Main,6624569923,,,,,4,4,4,12,,0,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
300,Christian Services Center,301 East 2nd Street,Hattiesburg,MS,39401,Main,6015825683,,,(601) 544-9903,www.Christianserve.org,5,7,7,19,food and utility assistance,0,Volunteer.christiansservices@gmail.com,Jim Prout,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
301,Christian Sitters  ,4808 North State Street,Jackson,MS,39206,Main,6019822277,,,,https://www.christiansittersinc.com/,6,7,7,20,,0,info@christiansittersinc.com,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
302,Christopher's Personal Care ,885 Highway 178 East,Holly Springs ,MS,38635,Main,6625511122,,,(662) 551-1635,http://www.assistedliving.com/mississippi/holly-springs/christophers-personal-care-home/,6,7,7,20,good resource to find all assisted living facilities in MS,0,,,,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
303,Chronic Disease Fund,6900 North Dallas Parkway ,Plano,TX,75024,Main,8779687233,,,,www.cdfund.org,1,1,1,3,,0,www.burnhamdrugs@aol.com,,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
304,Churches United Food Bank Of Pontotoc,3041 Highway 345,Pontotoc,MS,38863,Main,6624893087,Contact Person,6624891218,,,4,4,4,12,only open 1 day/month for two hours. ,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305,Church of Christ South 61 ,2 Beau Pre Road,Natchez,MS,39120-9723,Main,6014422101,,,,,4,4,4,12,,0,,Coleman K  Allman,Pastor,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
306,Circle of Hope*,6619 Highway 305 North ,Olive Branch,MS,38654,Contact Person,9012463127,,,,http://www.circleofhope-survival.com/support.html ,1,1,1,3,link doesn't work,0,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
307,City Drug Store ,3281 Jefferson Street,Macon,MS,39341,Main,6627265143,,,,https://maconcitydrugstore.com/services,7,7,7,21,website has a pill identifier feature,1,,,,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
308,"City Home Care, LLC",3324 Goodman Road,Southaven,MS,38672,Main,6012134893,,,,,1,1,1,3,no longer exists. number to a hotel,0,,,,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
